food_type,year,expenditure
Non-carcase meat and meat products,1986-1990,2.096871264
Non-carcase meat and meat products,1991-1995,2.749191909
Non-carcase meat and meat products,1996-2000,3.292272387
Non-carcase meat and meat products,2001-2005,3.723254486
Non-carcase meat and meat products,2006-2010,4.094878413
Non-carcase meat and meat products,2011-2015,4.683220797
Non-carcase meat and meat products,2016-2020,4.897035535
Other cereals and cereal products,1976-1980,0.219746416
Other cereals and cereal products,1981-1985,0.393818146
Other cereals and cereal products,1986-1990,0.653663942
Other cereals and cereal products,1991-1995,1.01132592
Other cereals and cereal products,1996-2000,1.323715082
Other cereals and cereal products,2001-2005,1.673963748
Other cereals and cereal products,2006-2010,1.925556321
Other cereals and cereal products,2011-2015,2.270528863
Other cereals and cereal products,2016-2020,2.518653012
Other food and drink,1976-1980,0.221728143
Other food and drink,1981-1985,0.362348232
Other food and drink,1986-1990,0.519951305
Other food and drink,1991-1995,0.761621286
Other food and drink,1996-2000,0.957623155
Other food and drink,2001-2005,1.190186165
Other food and drink,2006-2010,1.362525043
Other food and drink,2011-2015,1.57132142
Other food and drink,2016-2020,1.705868917
Other fresh vegetables,1976-1980,0.177496699
Other fresh vegetables,1981-1985,0.277016283
Other fresh vegetables,1986-1990,0.419735659
Other fresh vegetables,1991-1995,0.526103163
Other fresh vegetables,1996-2000,0.626490131
Other fresh vegetables,2001-2005,0.816720622
Other fresh vegetables,2006-2010,1.031233923
Other fresh vegetables,2011-2015,1.131374701
Other fresh vegetables,2016-2020,1.1520845
Other milk and cream,1976-1980,0.109561512
Other milk and cream,1981-1985,0.215888188
Other milk and cream,1986-1990,0.533510738
Other milk and cream,1991-1995,0.992336394
Other milk and cream,1996-2000,1.105698214
Other milk and cream,2001-2005,1.248116226
Other milk and cream,2006-2010,1.567103404
Other milk and cream,2011-2015,1.657364386
Other milk and cream,2016-2020,1.649486938
Processed fruit and fruit products,1976-1980,0.155058651
Processed fruit and fruit products,1981-1985,0.229245034
Processed fruit and fruit products,1986-1990,0.338210024
Processed fruit and fruit products,1991-1995,0.412463361
Processed fruit and fruit products,1996-2000,0.460440601
Processed fruit and fruit products,2001-2005,0.500113828
Processed fruit and fruit products,2006-2010,0.637741496
Processed fruit and fruit products,2011-2015,0.71501455
Processed fruit and fruit products,2016-2020,0.751834986
Processed potatoes,1976-1980,0.129520503
Processed potatoes,1981-1985,0.256308382
Processed potatoes,1986-1990,0.394160293
Processed potatoes,1991-1995,0.598799519
Processed potatoes,1996-2000,0.759793339
Processed potatoes,2001-2005,0.682451551
Processed potatoes,2006-2010,0.719778403
Processed potatoes,2011-2015,0.8528984
Processed potatoes,2016-2020,0.931555515
Sugar and preserves,1976-1980,0.16858432
Sugar and preserves,1981-1985,0.215362081
Sugar and preserves,1986-1990,0.208732059
Sugar and preserves,1991-1995,0.2126767
Sugar and preserves,1996-2000,0.193163575
Sugar and preserves,2001-2005,0.163220218
Sugar and preserves,2006-2010,0.186643567
Sugar and preserves,2011-2015,0.214088838
Sugar and preserves,2016-2020,0.19456062
